animals los_animales
ant la_hormiga
antler el_asta
ape el_mono
aquarium el_acuario
barn el_establo
beak el_pico
bear el_oso
beaver el_castor
bee la_abeja
beetle el_escarabajo
blackbird el_mirlo
bug el_insecto
bunny el_conejito
butterfly la_mariposa
bull el_toro
cage la_jaula
camel el_camello
canary el_canario
cat el_gato
caterpillar la_oruga
chick el_pollito
chicken el_pollo
cicada la_cigarra
claw la_zarpa
cocoon el_capullo
cow la_vaca
coyote el_coyote
crab el_cangrejo
crane la_grulla
crocodile el_cocodrilo
crow el_cuervo
deer el_venado
dinosaur el_dinosaurio
dog el_perro
donkey el_burro
dove la_paloma
duck el_pato
duckling el_patito
eel la_anguila
egg el_huevo
elephant el_elefante
elk el_alce
feather la_pluma
fin la_aleta
fish el_pez
flamingo el_flamenco
fly la_mosca
fox el_zorro
frog la_rana
gazelle la_gacela
giraffe la_jirafa
goat la_cabra
goose el_ganso
gorilla el_gorila
grasshopper el_saltamontes
hamster la_marmota
hedgehog el_erizo
hen la_gallina
hive la_colmena
hog el_cerdo
horse el_caballo
hyena la_hiena
hoof el_casco
insect el_insecto
jaguar el_jaguar
jay el_arrendajo
jellyfish la_medusa
kangaroo el_canguro
kitten el_gatito
koala el_koala
ladybug la_mariquita
lamb el_cordero
lizard la_lagartija
llama la_llama
lobster la_langosta
macaw el_guacamayo
mammoth el_mamut
marsupial el_marsupial
mermaid la_sirena
mole el_topo
monkey el_mono
monster el_monstruo
moose el_alce
mosquito el_mosquito
moth la_polilla
mutt el_bobo
octopus el_pulpo
ostrich el_avestruz
otter la_nutria
parrot el_loro
pig el_cerdo
pigeon la_paloma
puppy el_cachorro
quail la_codorniz
quetzal el_quetzal
rabbit el_conejo
raccoon el_mapache
rat la_rata
reindeer el_reno
rhinoceros el_rinoceronte
roach la_cucaracha
roadrunner el_correcamino
robin el_petirrojo
rooster el_gallo
seal la_foca
sheep la_oveja
shrimp el_camaron
snail el_caracol
snake la_culebra
squid el_calamar
sponge la_esponja
squirrel la_ardilla
stable el_establo
swan el_cisne
tadpole el_renacuajo
tiger el_tigre
toad el_sapo
toucan el_toucan
turtle la_tortuga
unicorn el_unicornio
vulture el_buitre
walrus el_walrus
wasp la_avispa
weasel la_comadreja
whale la_ballena
wolf el_lobo
worm el_gusano
zebra el_cebra
Bicycle la_bicicleta
bicycle la_bicicleta
